S.N.,Car Name,Model,Chasis Number,Colour,Mileage,Engine,Grade,Details,Price,Landing,Location,imgURL,Picture,Status,Drive Image,First Image
278,Toyota Prius Touring Selection Package,2020,DAA-ZVW51,Red,"48,362",1800,R,"Pre-crash safety, Alpine navigation, Seat heater, Back camera",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Unsold,https://drive.google.com/thumbnail?id=1mtf7JEXC9c50uHY0AigRwPARxStfVY4j&sz=w1000|https://drive.google.com/thumbnail?id=1ZpCNGyYTZ9liKYJpiB9-mqPQt18sr5nF&sz=w1000|https://drive.google.com/thumbnail?id=1YwPThHFt9Rxhm32aIqQOgBfv6AJ9Gj5w&sz=w1000|https://drive.google.com/thumbnail?id=1WuEa9-JSGYiE_xhEtSkx2FqaNmvCIPOA&sz=w1000|https://drive.google.com/thumbnail?id=12aOFYdsojWf9W-L-7i9SJJGzhCdf3U5h&sz=w1000|https://drive.google.com/thumbnail?id=1Um-JcPVwPB0rz1tGtdwKP4g1k7KUCllB&sz=w1000|https://drive.google.com/thumbnail?id=12Jzbz0d5tPtD_nEQ1OHXbQxZyr28_zgl&sz=w1000|https://drive.google.com/thumbnail?id=1E1KzCLY2dhd_B3EXyP9d3rhGLaAZaCve&sz=w1000|https://drive.google.com/thumbnail?id=17WOyAG19eonueKw7s8ei68pJYgJtQebi&sz=w1000|https://drive.google.com/thumbnail?id=1WRo_DRAdzLOnTesYNlRrsXhW0pqXna8i&sz=w1000|https://drive.google.com/thumbnail?id=1eDHjKjTttvQO7dY1f_UtQ42PBDYmB9nL&sz=w1000|https://drive.google.com/thumbnail?id=16Q-UzIrLoqRt4tHpl1ijdiPBPrzGOLyn&sz=w1000|https://drive.google.com/thumbnail?id=1JLIbpS3ks8Ld6l1usLB_EKxBut7CThMo&sz=w1000|https://drive.google.com/thumbnail?id=1Yc9-XmMLP0c6zxiFEYLw3s2-lrQE-MyA&sz=w1000|https://drive.google.com/thumbnail?id=1mAyxAX5oSLtcTkZqrDscZrbW4oeCNruV&sz=w1000|https://drive.google.com/thumbnail?id=11gf_3fpL7VcfuxscNIvSsO3I4VltckoD&sz=w1000|https://drive.google.com/thumbnail?id=10PbF_KbE1GqVZDGApYs_wYxa5sYs5xQE&sz=w1000|https://drive.google.com/thumbnail?id=1fsEyIs2N2tJ3DLzWV-781dLgsCw_fARC&sz=w1000|https://drive.google.com/thumbnail?id=1O-fiBWLs43jeIVY7mNe_qV0Fr3vU_gWL&sz=w1000|https://drive.google.com/thumbnail?id=1acBrQUCaBNRtqCg45gf5okI4ppZL7eMC&sz=w1000|https://drive.google.com/thumbnail?id=1BlBgLfGUN6pziAfqWYBJuG4P--fP5iop&sz=w1000|https://drive.google.com/thumbnail?id=1xmaLpSaxwQS4XDDi6zOuPgh_rv-mr5s3&sz=w1000|https://drive.google.com/thumbnail?id=1LnBlvobn7Q2H06yAOYHp4EjbNeFZleFz&sz=w1000|https://drive.google.com/thumbnail?id=1Cz9GOdYveB-FmFPg86DHmRH_E4fHGG9N&sz=w1000|https://drive.google.com/thumbnail?id=1yueiHoreL93NxhYja-aWSneMhdnPICaR&sz=w1000,https://drive.google.com/thumbnail?id=1mtf7JEXC9c50uHY0AigRwPARxStfVY4j&sz=w1000
279,Toyota Voxy Hybrid ZS Kirameki Package,2020,DAA-ZWR80W,Pearl,"115,854",1800,4,,1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1ZAP9E1e-4avZPxQEchGxMwTbGABvo9by&sz=w1000|https://drive.google.com/thumbnail?id=1x5CI7naHIS5OCMISvPuzonaDJfC3MXeD&sz=w1000|https://drive.google.com/thumbnail?id=1d2RQKF67JChKFBfDKRGGgbFSsWD1Bjkr&sz=w1000|https://drive.google.com/thumbnail?id=17ISJijewllrOP0zksHtrLvpCZPjUHw-t&sz=w1000|https://drive.google.com/thumbnail?id=1BT9JmaqwPCctNkkYcaLZ6MZKnvXs0vM4&sz=w1000|https://drive.google.com/thumbnail?id=1i9Srvch2qAizmAKCdDmhbXokb5TYV4-C&sz=w1000|https://drive.google.com/thumbnail?id=1Qztp_jSA_K6xbcHbDwWweJjPOgyVffJY&sz=w1000|https://drive.google.com/thumbnail?id=16HjMg_5V8QL6b0lPqc67UgdowLDHFFAy&sz=w1000|https://drive.google.com/thumbnail?id=14e0lAF3auFRvXk8wAnjBAuJ2W4Fi_AXD&sz=w1000|https://drive.google.com/thumbnail?id=1qWgL1mogvxvVpMcNajUO95ADKtTtRWaM&sz=w1000|https://drive.google.com/thumbnail?id=1NxjoS1e9X9dYpXb9KDKTX6gtBBm9fxIM&sz=w1000|https://drive.google.com/thumbnail?id=1fBzW4uM_O4nm5hHS9vZslBPPYMs87VNp&sz=w1000|https://drive.google.com/thumbnail?id=1VkaV0V4OaKauLLNfDPr_RurLV_WPMAVA&sz=w1000|https://drive.google.com/thumbnail?id=1EgTzwEcuCE9LQH9JMZPrz-v_sXlBU54z&sz=w1000,https://drive.google.com/thumbnail?id=1ZAP9E1e-4avZPxQEchGxMwTbGABvo9by&sz=w1000
280,Toyota Alphard Hybrid Executive Lounge 4WD S Package,2022, AYH30-0140656,WINE RED,"52,525",2500,R,"TSS, C sonar, Power back door, Digital inner mirror",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Unsold,https://drive.google.com/thumbnail?id=1PzXrLlIj_U1fETFwtGw3UV82G_TclFRy&sz=w1000|https://drive.google.com/thumbnail?id=1HDyC-xqpE24CwcwYNCzlj5Pz3mzF31oV&sz=w1000|https://drive.google.com/thumbnail?id=13biMdzBTBbH9ZfOizSLS4xo9vUtTJz28&sz=w1000|https://drive.google.com/thumbnail?id=1nduzWK7R1dyyd3xx_0jhWIKuby6WRWFu&sz=w1000|https://drive.google.com/thumbnail?id=1rk0swxFA5BttXHLcVevvCBCnFwfHfAIt&sz=w1000|https://drive.google.com/thumbnail?id=1gE3ON4lxgGWgez5tiXs6OXNj8UDG80Es&sz=w1000|https://drive.google.com/thumbnail?id=1ucX-cKL2bAgQzSD1kPR6j-MF7LDCX6IH&sz=w1000|https://drive.google.com/thumbnail?id=1um1xbr2iNvLgRze8U1JhIXhfQAEu2Ka0&sz=w1000|https://drive.google.com/thumbnail?id=14Vy8OS6GXq-C0zlyzgl9aQiPrARxNXFD&sz=w1000|https://drive.google.com/thumbnail?id=1dHK1J9nF4eQznszi0bWRPzHRIHYb8f3D&sz=w1000|https://drive.google.com/thumbnail?id=1DwWKjEZLaYVZ_tBlTnme7vUMBah8o0LJ&sz=w1000|https://drive.google.com/thumbnail?id=1_4ePYY646M3jdIJ4Jz7DJ6Hmv16aIFlM&sz=w1000|https://drive.google.com/thumbnail?id=13BNkhFCXniibEHAGXPYPTrDXeHV1Aiom&sz=w1000|https://drive.google.com/thumbnail?id=1OWGEoUaP5qmbLCtwyAbKYEzI94dkYnd8&sz=w1000|https://drive.google.com/thumbnail?id=1bb7uETUFas_cbFS6lCS9cjkRaTgMhgwX&sz=w1000,https://drive.google.com/thumbnail?id=1PzXrLlIj_U1fETFwtGw3UV82G_TclFRy&sz=w1000
281,Toyota Premio 1.5F L Package,2021,NZT260-3230754,White,"28,450",1500,3.5,"TSS, Intelligent C sonar, Push start",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1MLMccFp4d8Dk6rAQHw94-dUuAs09vtgn&sz=w1000|https://drive.google.com/thumbnail?id=17uFxCOVzoVh4iywo-MyR3hc4DUExizrl&sz=w1000|https://drive.google.com/thumbnail?id=1WCzDiXzh2qnf1bV8TTZGvjFV-tS8B-RS&sz=w1000|https://drive.google.com/thumbnail?id=1qtaJCh-PdxYn7jX05S1ZkzaymhgHueIv&sz=w1000|https://drive.google.com/thumbnail?id=1Y04G4t1nrtge2gXIj1JJwmU9xpg5JeDr&sz=w1000|https://drive.google.com/thumbnail?id=1TXXZ659oCq9fYqHychfAy6Hpc17vF6Jl&sz=w1000|https://drive.google.com/thumbnail?id=1Md_KImjzlP0b4u0n-WUBbRf4x75o7FP-&sz=w1000|https://drive.google.com/thumbnail?id=1igc0Tg9gVFOksylJX3359wsgQTTGIOH8&sz=w1000|https://drive.google.com/thumbnail?id=1nU7cOnR8t-Q6W07pFloxxnzasY3en-dU&sz=w1000|https://drive.google.com/thumbnail?id=1r3Y9Q5iL6ELmN9F9nXhsc2lc7fUlcVJM&sz=w1000|https://drive.google.com/thumbnail?id=1xAw6fo6eRANWDOCXJUJ6KbgCBydE1Ywe&sz=w1000|https://drive.google.com/thumbnail?id=1berPmIDWDuq6roX6OAqitemhIB-INZOK&sz=w1000,https://drive.google.com/thumbnail?id=1MLMccFp4d8Dk6rAQHw94-dUuAs09vtgn&sz=w1000
282,Toyota Hiace 5-door van DX Package Ambulance,2020,TRH200-5042486,White,"132,171", 2000,RA,Ambulance,1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1uRNs7F_9PN0ID-H3H9VWxVkOW8CuY7eK&sz=w1000|https://drive.google.com/thumbnail?id=18oE3Qy2BuvqSEwF5-p0Uuuh2JobJOKAU&sz=w1000|https://drive.google.com/thumbnail?id=1ys7w3MC9tPgxevfK5WqQGXX1WY5TVNUv&sz=w1000,https://drive.google.com/thumbnail?id=1uRNs7F_9PN0ID-H3H9VWxVkOW8CuY7eK&sz=w1000
283,Toyota Hiace DX Package Ambulance,2021,TRH200-0334528,Silver,, 2000,,Ambulance,1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Unsold,https://drive.google.com/thumbnail?id=1HRkm0p6vWFuavPJQjPSmVIKLqqM2tlbM&sz=w1000|https://drive.google.com/thumbnail?id=1B6jDOxfiOjdNxL2M5srPj_O0zPYF_I3V&sz=w1000|https://drive.google.com/thumbnail?id=1rtivUuTfrQ2qpkmpG6HPCHJAR75U3UhU&sz=w1000|https://drive.google.com/thumbnail?id=16mQ4Gbw5_bDZdnF4EDgGB1bDGJfb8RgE&sz=w1000|https://drive.google.com/thumbnail?id=1b0XOSRqirBsUYkl1z1LCEfIFprrNMy5B&sz=w1000|https://drive.google.com/thumbnail?id=1yPzVxWuzWxdBzsj9nGEG15_szoGJBfvK&sz=w1000|https://drive.google.com/thumbnail?id=1KTr18MlpXC0OjBMFvFM8Aj2VCvXd5Ed_&sz=w1000|https://drive.google.com/thumbnail?id=1Nq2L5Nbcnw15fexoqXy1gQLIJwnnczFQ&sz=w1000|https://drive.google.com/thumbnail?id=1oNJml-STeKS33dRJwPHy7wnq2T_fp5L6&sz=w1000|https://drive.google.com/thumbnail?id=181DxBFgjQnNhxEXILwnTJbyHrTiPC4Dl&sz=w1000|https://drive.google.com/thumbnail?id=1UOMM2OQg4qnzNZ4WUZ7QAv5HKActlYx-&sz=w1000|https://drive.google.com/thumbnail?id=19_C1HV46pQPqwcYHot97GXylZZKLNK0n&sz=w1000|https://drive.google.com/thumbnail?id=1t0UhzUQZxmneDg68s8g-UDxCbt7m8cqb&sz=w1000|https://drive.google.com/thumbnail?id=1nVjKbiL3HBrU8z_PSLcMGzuSYthpGvFh&sz=w1000,https://drive.google.com/thumbnail?id=1HRkm0p6vWFuavPJQjPSmVIKLqqM2tlbM&sz=w1000
284,Toyota 5 DOOR HALF CEILING ORIGINAL DUAL AC HIACE Ambulance,2022,TRH200-0357565,Silver,"31,839",2000,R,"AMBULANCE, LED Headlights",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,,Sold,,
285,Toyota Corolla Cross Hybrid,,,Silver,"129,962",,,,1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Unsold,,
286,Toyota C-HR Hybrid G Package,2020,ZYX11-2018310,Pearl,"122,544",1800,3.5,"Navigation, ABS, Alloy rims, PS, PW",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Unsold,,
287,Toyota Corolla Cross Hybrid Z Package,2022,ZVG11-1013368,Bronze,"59,750",1800,4.5,"PS, PW, AW, SR, ABS",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Unsold,,
